Timestamp,Event,Name,Details
2025-12-05 18:47:11,UNKNOWN_PERSON_ALERT,N/A,Snapshot saved to data/alerts/alert_1764942431.jpg
2025-12-05 18:52:42,UNKNOWN_PERSON_ALERT,N/A,Snapshot saved to data/alerts/alert_1764942762.jpg
2025-12-05 18:55:04,UNKNOWN_PERSON_ALERT,N/A,Snapshot saved to data/alerts/alert_1764942904.jpg
2025-12-05 18:55:27,UNKNOWN_PERSON_ALERT,N/A,Snapshot saved to data/alerts/alert_1764942927.jpg
2025-12-05 20:11:55,UNKNOWN_PERSON_ALERT,N/A,Snapshot saved to data/alerts/alert_1764947515.jpg
